LOAD_ZONE,PERIOD,ev_share
Oahu,2020,0.0155
Oahu,2022,0.0215
Oahu,2025,0.038
Oahu,2030,0.0845
Oahu,2035,0.165
Oahu,2040,0.2955
Oahu,2045,0.545
