load_zone,period,AES,Airport_DSG,Battery_Bulk,Battery_Conting,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Waiau_10,Waiau_6,Waiau_7,Waiau_8,Waiau_9,GeneratePumpedHydro
Oahu,2020,1576.8,0.37755158184319115,0.0,0.0,0.0,399.63742277645093,16.70719614402628,512.9507290635964,374.9280000000002,36.08640027510316,314.92164280379865,327.86962216132923,413.88902181048917,195.52532173682286,693.9896075190112,516.2388273235929,786.7537657303267,787.9178535708775,212.43390993397895,0.0,390.0206587018369,416.4111397661657,0.0,24.129160935350757,3.345749656121052,18.854283356258584,0.27844429160935347,0.0
Oahu,2022,0,8.27400275103164,214.91173423024227,0.0,86.73579959331985,2372.3412157828284,85.68975493458669,603.4211833257629,374.9280000000002,218.5127576341127,0,0,0,0,890.0656857053908,814.6978879259327,766.259009628612,749.5403026134818,190.9545340177815,0.0,390.0206587018369,416.41113976616583,10.255445667125164,0,0,0,5.426958367163252,296.5358047627592
Oahu,2025,0,1.9841540577716668,206.44800914099739,0.0,61.695374714303654,2372.3412157828293,98.76855744942186,718.8995639378701,374.92800000000045,219.51750778994221,0,0,0,0,787.1013776461517,745.9507987475489,788.3999999999997,686.4610729023385,178.67535427397672,0.0,390.02065870183696,416.41113976616583,8.891803309373023,0,0,0,5.043603370566831,287.35458074434666
Oahu,2030,0,7.575130674002744,245.46747998569745,0.0,16.36807667051606,2334.4097525987877,163.73328198717041,946.2120640170591,374.9280000000002,263.62907351944983,0,0,0,0,694.2869433377773,443.01093280487396,706.7325804676755,688.0906035311104,152.97667125171944,178.17824543426147,378.1487047690583,402.3799457396765,1.4788775790921558,0,0,0,0.0,412.6130540901447
Oahu,2035,0,0.2891884456671251,239.0475374578632,0.0,13.329779917469057,2221.4661534682887,230.54581592641705,1175.1905731443755,374.92800000000045,157.95110297863008,0,0,0,0,382.6214410146489,214.3046395140549,624.6615543574554,645.1176685006883,136.88818506071263,1164.2627832363057,372.5844081155097,390.0798608032851,0.21327647867950478,0,0,0,5.189530183257063,392.544474044005
Oahu,2040,0,1.9921870701513043,549.8431873977931,0.0,9.98603851444292,2299.201004303715,278.26329122597656,1232.8409686964012,374.92800000000017,94.89520076043867,0,0,0,0,365.43825276929255,163.89052406457094,701.8926098457354,580.6326663199519,112.51840440165068,1374.2322462291725,384.5165673503376,682.0469318779275,1.9030333385864062,0,0,0,5.2672462173315076,347.1783287995477
Oahu,2045,0,1.3495460797799195,1448.1585876221677,0.0,19.062338376891365,4614.910897080346,413.8142969860164,835.5173985760781,374.9280000000005,38.293269601100455,0,0,0,0,0,0,111.0664374140301,66.1518569463548,13.903321859891216,1270.5822488318613,1006.7297440279154,770.8782366872562,7.0148280605227065,0,0,0,5.205592847317751,393.4404193976251
