gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
CIP_CT,multiple,2022,83.10291936474738,367471.07496285054,83920.42951547433,113.0,4008559.9753119107,1694967.0099513936,73.05396858057316,0.08395251885556566,0.0,0.0
CIP_CT,multiple,2025,66.02074677332361,291935.77039286145,66137.95160977123,113.0,4008559.9753119107,1694967.0099513936,90.81179854328302,0.06669570733151858,0.0,0.0
CIP_CT,multiple,2030,18.159070301245176,80297.21621013506,22238.49081152146,113.0,4008559.9753119107,1694967.0099513936,318.50882812413806,0.018344718856068594,0.0,0.0
CIP_CT,multiple,2035,11.975274492928996,52953.21782351925,14581.725677710641,113.0,4008559.9753119107,1694967.0099513936,480.69714030236514,0.012097703249817146,0.0,0.0
CIP_CT,multiple,2040,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,0.0,0.0
CIP_CT,multiple,2045,19.06233837689136,84291.35857329893,0.0,113.0,4008559.9753119107,1694967.0099513936,303.6258317003219,0.019257221458046796,0.0,0.0
CentralTrackingPV,SUN,2020,396.55944651186064,0.0,0.0,174.4425,30999603.605550215,2740744.809290321,85.08269998765847,0.2595086817095405,0.0,0.0
CentralTrackingPV,SUN,2022,2391.4852809563836,0.0,0.0,1025.19,143886523.17544004,13779224.657059122,65.92796078989322,0.26629268998810185,0.0,0.0
CentralTrackingPV,SUN,2025,2391.462992570733,0.0,0.0,1025.19,143886523.17544004,13779224.657059122,65.92857523712479,0.266290208168867,0.0,0.0
CentralTrackingPV,SUN,2030,2320.866271441109,0.0,0.0,1025.19,143886523.17544004,13779224.657059122,67.93400799202398,0.2584292395383474,0.0,0.0
CentralTrackingPV,SUN,2035,2198.2969839572515,0.0,0.0,1025.19,143886523.17544004,13779224.657059122,71.7217687069188,0.2447811081724924,0.0,0.0
CentralTrackingPV,SUN,2040,2361.007578000236,0.0,0.0,1025.19,143886523.17544004,13779224.657059122,66.77900964894039,0.26289898751814356,0.0,0.0
CentralTrackingPV,SUN,2045,4559.253839581119,0.0,0.0,2734.630537641376,301545131.1179263,29266020.14017677,72.55817791634436,0.190322882711743,0.0,0.0
DistBattery,Battery,2020,-1.7556382968081947,0.0,0.0,31.941,2581301.1952438713,1088118.0521077218,232.2307792254065,0.05647093003264778,17.556382968081948,15.800744671273751
DistBattery,Battery,2022,-9.856394959285616,0.0,0.0,54.602000000000004,4232081.045849683,1783985.4537149048,67.81909978710951,0.18545901573840215,98.56394959285618,88.70755463357057
DistBattery,Battery,2025,-11.17530659451661,0.0,0.0,66.011,4926830.27173507,2076849.0590030644,69.63447362473882,0.17393281995315982,111.75306594516616,100.57775935064956
DistBattery,Battery,2030,-18.389694591791546,0.0,0.0,99.398,6629569.340060586,2794619.275701482,56.941242998424045,0.19007949698064083,183.89694591791556,165.50725132612402
DistBattery,Battery,2035,-27.805100853714357,0.0,0.0,144.287,7721706.981960925,3254997.431388129,43.86367199752576,0.19798654375479172,278.0510085371436,250.24590768342927
DistBattery,Battery,2040,-28.076198729591546,0.0,0.0,193.00900000000001,9070775.393315457,3823681.81995459,51.02960988201976,0.14945111188436785,280.7619872959156,252.68578856632405
DistBattery,Battery,2045,-44.08204730550348,0.0,0.0,244.132,10869923.703749746,4582092.2521078605,38.947616245301056,0.18551347070003896,440.82047305503465,396.7384257495312
FlatDistPV,SUN,2020,512.9507290635964,0.0,0.0,298.5999999999995,83631694.32104051,2010393.9882928126,166.95967752239082,0.19610187307266377,0.0,0.0
FlatDistPV,SUN,2022,603.7435829491837,0.0,0.0,350.9449999999995,93849396.9565065,2866820.223422145,160.19419487241018,0.19638547446655427,0.0,0.0
FlatDistPV,SUN,2025,719.2219635612909,0.0,0.0,417.52199999999954,105922960.81476611,3878800.8230367736,152.6674200744785,0.19664344364335243,0.0,0.0
FlatDistPV,SUN,2030,963.1820774691124,0.0,0.0,559.2519999999995,128353288.1796993,5758863.446036774,139.23862866939282,0.1966059879062192,0.0,0.0
FlatDistPV,SUN,2035,1169.0995646116585,0.0,0.0,700.5313019178624,149660135.69812137,7544758.363289363,134.46664323549697,0.19051090799561687,0.0,0.0
FlatDistPV,SUN,2040,1187.2305470239926,0.0,0.0,700.5313019178624,149660135.69812137,7544758.363289363,132.4131142476692,0.19346544670795798,0.0,0.0
FlatDistPV,SUN,2045,897.1760208215187,0.0,0.0,700.5313019178624,149660135.69812137,7544758.363289363,175.2219078676029,0.14619953982736902,0.0,0.0
H-Power,MSW,2020,374.9280000000001,58778202.42245315,0.0,73.0,12417915.583805632,5952591.53247224,205.76939982804964,0.5863013698630138,0.0,0.0
H-Power,MSW,2022,374.92800000000017,58778202.42245316,0.0,73.0,12417915.583805632,5952591.53247224,205.76939982804973,0.5863013698630137,0.0,0.0
H-Power,MSW,2025,374.9280000000001,58778202.42245314,0.0,73.0,12417915.583805632,5952591.53247224,205.76939982804961,0.5863013698630138,0.0,0.0
H-Power,MSW,2030,374.9280000000001,58778202.42245314,0.0,73.0,12417915.583805632,5952591.53247224,205.76939982804961,0.5863013698630138,0.0,0.0
H-Power,MSW,2035,374.9280000000001,58778202.42245314,0.0,73.0,12417915.583805632,5952591.53247224,205.76939982804961,0.5863013698630138,0.0,0.0
H-Power,MSW,2040,374.9280000000001,58778202.42245314,0.0,73.0,12417915.583805632,5952591.53247224,205.76939982804961,0.5863013698630138,0.0,0.0
H-Power,MSW,2045,374.9280000000001,58778202.42245314,0.0,73.0,12417915.583805632,5952591.53247224,205.76939982804961,0.5863013698630138,0.0,0.0
IC_Barge,multiple,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
