load_zone,period,Battery,Biodiesel/Coal/Diesel/LNG/LSFO/Pellet-Biomass,Biodiesel/Diesel/LNG,Biodiesel/Diesel/LNG/LSFO,MSW,SUN,WND,hydro,batteries,fuel cells
Oahu,2020,94.20736769883547,180.0,60.9,1083.6399999999999,73.0,738.0259999999993,123.0,0.0,0.0,0
Oahu,2022,256.36836769883547,0.0,223.8,525.54,73.0,1639.8709999999994,123.0,150.0,0.0,0
Oahu,2025,267.77736769883546,0.0,223.8,525.54,73.0,1706.4479999999996,123.0,150.0,0.0,0
Oahu,2030,301.16436769883546,0.0,223.8,525.54,73.0,1848.1779999999997,173.3107907550713,150.0,0.0,0
Oahu,2035,343.62247796162853,0.0,223.8,525.54,73.0,2010.3509999999994,452.82160189436996,150.0,0.0,0
Oahu,2040,438.5505949483046,0.0,223.8,525.54,73.0,2175.684999999999,511.78253720677225,150.0,0.0,0
Oahu,2045,987.6400960065419,0.0,223.8,256.84000000000003,73.0,4092.451058572581,761.6265182605907,150.0,0.0,0
