load_zone,period,AES,Airport_DSG,Battery_Bulk,Battery_Conting,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Waiau_10,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,batteries,fuel cells
Oahu,2020,180.0,8.0,0.0,62.26636769883547,0.0,175.69,31.941,298.5999999999995,73.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,263.7359999999998,0.0,53.5,82.9,86.1,52.9,0.0,0.0,0
Oahu,2022,0.0,8.0,139.5,62.26636769883547,113.0,1025.1899999999998,54.602000000000004,350.9449999999995,73.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,123.0,263.7359999999998,49.9,0.0,0.0,0.0,52.9,150.0,0.0,0
Oahu,2025,0.0,8.0,139.5,62.26636769883547,113.0,1025.1899999999998,66.011,417.5219999999995,73.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,123.0,263.7359999999998,49.9,0.0,0.0,0.0,52.9,150.0,0.0,0
Oahu,2030,0.0,8.0,139.5,62.26636769883547,113.0,1025.1899999999998,99.398,559.2519999999995,73.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,50.310790755071324,123.0,263.7359999999998,49.9,0.0,0.0,0.0,52.9,150.0,0.0,0
Oahu,2035,0.0,8.0,139.5,59.835477961628555,113.0,1025.1899999999998,144.287,721.4249999999995,73.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,329.82160189436996,123.0,263.7359999999998,49.9,0.0,0.0,0.0,52.9,150.0,0.0,0
Oahu,2040,0.0,8.0,185.70611698667602,59.835477961628555,113.0,1025.1899999999998,193.00900000000001,721.4249999999995,73.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,388.78253720677225,123.0,429.0699999999998,49.9,0.0,0.0,0.0,52.9,150.0,0.0,0
Oahu,2045,0.0,8.0,683.6726180449132,59.835477961628555,113.0,2771.660058572582,244.132,721.4249999999995,73.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,388.78253720677225,372.8439810538184,599.3659999999998,49.9,0.0,0.0,0.0,52.9,150.0,0.0,0
