load_zone,period,AES,Airport_DSG,Battery_Bulk,Battery_Conting,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Waiau_10,Waiau_6,Waiau_7,Waiau_8,Waiau_9,GeneratePumpedHydro
Oahu,2020,1576.7999999999988,2.47416781292985,0.0,0.0,27.33734525447042,396.55944651186076,0.0,512.950729063597,374.92800000000045,62.62703470870632,155.11646492434696,224.33429131034438,471.66004111913816,195.01207384587514,773.5204783978135,520.7320384756987,785.9441484902565,786.3327118554448,211.74583735047156,0.0,390.02065870183714,416.41113976616583,1.3270536451169186,24.806946354883102,53.65148555708405,36.64192744492979,0.5687372764786796,0.0
Oahu,2021,1576.8,1.8154607977991757,7.849783725143625,0.0,4.834869325997247,732.3421837743817,0.0,564.1360785365871,374.92800000000005,109.70976662181018,106.57621752596977,267.3778913387993,499.76482158561697,69.53943153939038,712.7169946849633,296.9020014461345,787.5302322888517,787.0699880524596,222.08612597276874,0.0,390.020658701837,416.41113976616606,1.563639766399354,23.907399490514273,0.0,10.67029831266467,4.969322216655051,0.0
Oahu,2022,0,6.836093535075661,83.00929848394989,0.0,106.74450070384844,2390.0962003999857,42.61421289120366,603.7435829491841,374.9280000000004,264.93874938101794,0,0,0,0,826.6910794570342,794.2474714829912,779.0073182614083,692.4255845942225,202.4909139625076,0.0,390.02065870183714,416.411139766166,32.28482090127248,0,0,0,20.1212561631399,372.14574154419904
Oahu,2023,0,3.0364786795048184,82.770627313623,0.0,95.83624113336788,2387.5279622893086,42.615024188657046,636.5616948731707,374.92800000000005,251.5414769080824,0,0,0,0,798.8267410273601,772.1891926219088,761.9663686382398,696.2211829436039,187.9942230842493,33.60708843783314,390.020658701837,413.9206176331018,28.92413110236047,0,0,0,16.833977217862895,376.67373056362817
Oahu,2024,0,7.205612104539213,90.89552492554432,0.0,70.25873090260902,2386.4416492339587,46.019461388028304,671.1290723440816,374.9280000000004,243.42805127983507,0,0,0,0,782.9851404605577,756.8641336475665,698.538857975435,756.0376737965946,175.27229711141703,67.02435572237364,387.675296950888,412.2643342432448,26.061917414159105,0,0,0,17.472242761152067,400.63836155464367
Oahu,2025,0,2.6749931224209105,143.60735308352116,0.0,56.593972531635714,2379.7814334182644,60.31620709083517,717.0372970294873,374.92800000000005,245.22624110101782,0,0,0,0,772.4116297735209,687.6469866678773,695.7565394400925,756.7740713363931,173.04437627251997,100.82126531349952,387.76941125198834,416.4111397661662,3.908261348005497,0,0,0,2.482301237964238,381.7668689515481
Oahu,2026,0,1.3575790921595594,157.71627388472942,0.0,40.36158819890768,2374.584297790393,71.9918905104304,763.7647597544257,374.9280000000004,259.2372209978117,0,0,0,0,766.7750302613479,609.113419391507,660.7052269601096,764.1400864961658,178.75896352623388,126.55638668333098,387.810114453419,407.4314164609185,13.646340537812634,0,0,0,7.274959001193477,372.67423752300505
Oahu,2027,0,1.4780742778541938,169.3876982204502,0.0,31.805431646846337,2371.7411347809134,116.36799292973747,806.7024433396891,374.92800000000005,261.86320458944704,0,0,0,0,753.3087910987971,536.4564159493024,723.2821393819157,696.2211829436039,176.20439626148905,149.61062644777516,390.020658701837,412.0636385391692,7.5686123468233335,0,0,0,9.832005502063275,369.4422718331904
Oahu,2028,0,3.759449793672629,264.03888252462576,1.6833723146795825,44.893139188913096,2375.6484416068974,118.59251486555422,860.2502709416177,374.9280000000004,252.39894556307013,0,0,0,0,770.5619279149594,433.4724774885268,692.9075653370004,724.9608310914701,169.1062126704094,178.02662942299398,386.9468061209568,409.756255968761,9.185681813552504,0,0,0,1.49885969738652,343.79480078938167
Oahu,2029,0,1.8636588720770306,331.69319053067613,0.0,19.391394708562597,2374.5698588429573,130.06619713687013,901.2127052020678,374.92800000000005,230.580684258718,0,0,0,0,703.7075081094284,418.07366838205047,747.0550894085286,670.2394085281979,165.50344168801772,200.57649447480233,388.1554683560323,413.4339060541209,3.8487798988432114,0,0,0,1.1552475928473176,332.4475730957006
Oahu,2030,0,1.8636588720770293,374.7879379555136,0.0,11.907103239829961,2375.215449086003,256.22752578653484,965.0538707387537,374.9280000000004,215.30871031636863,0,0,0,0,662.2017951173826,314.8065834905946,722.2029573590092,734.4784044016503,163.61370852896582,228.84874459529027,390.02065870183714,415.1997715893915,1.4858367000495454,0,0,0,1.8012960039730281,298.40152646518067
Oahu,2031,0,0.0,391.2601394591206,0.0,7.86231086657497,2371.0259920607937,305.4458931146413,1009.375722408933,374.92800000000005,187.16703961485572,0,0,0,0,540.1762419018048,233.16721331015654,760.4601788170563,694.8011222257521,167.7833748191764,443.7902615202784,387.99059624541337,415.56375358642464,1.896895707633207,0,0,0,2.299577680041117,314.67122587136856
Oahu,2032,0,1.1888858321870706,403.54235289832576,0.0,19.585031194529385,2340.729699511329,326.2629389657401,1073.9782418998882,374.92800000000045,185.54358610997153,0,0,0,0,346.60934883100117,281.12077334105777,712.3374140302609,742.1750343878953,156.4944686294616,658.0836508779001,385.2434187468715,414.56392791086876,0.49002832401774,0,0,0,0.9301224209078404,324.44746800355193
