LOAD_ZONE,PERIOD,ev_share
Oahu,2020,0.0155
Oahu,2021,0.0184
Oahu,2022,0.0215
Oahu,2023,0.0264
Oahu,2024,0.0315
Oahu,2025,0.038
Oahu,2026,0.045
Oahu,2027,0.0528
Oahu,2028,0.0626
Oahu,2029,0.073
Oahu,2030,0.0845
Oahu,2031,0.0972
Oahu,2032,0.1128
Oahu,2033,0.128
Oahu,2034,0.1455
Oahu,2035,0.165
Oahu,2036,0.1838
Oahu,2037,0.206
Oahu,2038,0.2315
Oahu,2039,0.2605
Oahu,2040,0.2955
Oahu,2041,0.3365
Oahu,2042,0.381
Oahu,2043,0.4305
Oahu,2044,0.4855
Oahu,2045,0.545
